no_letter,no_digit,no_special _char,no_keyword,length,entropy,no_semicolon,no_single_ qout,no_double_ qout,no_percentage,whit_ space,no_punctuation,no_logical _operat,no_operat,no_or,no_and,no_comment,no_null Value in the SQL Query,label
0,8,0,0,8,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0
6,2,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
23,4,0,2,35,3.799873731,0,0,0,0,7,2,1,0,0,0,0,0,0
4,2,0,0,6,2.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.947702779,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,0,17,3.4548224,0,0,0,0,1,2,0,0,0,0,0,0,0
1,8,0,0,9,2.947702779,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.641604168,0,0,0,0,1,0,0,0,0,0,0,0,0
27,0,0,2,34,3.572469459,0,0,0,0,5,3,2,1,1,0,0,0,0
5,0,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,0,14,3.039148672,0,0,0,0,3,0,0,0,0,0,0,0,0
7,0,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,8,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,0,3,14,2.842370993,0,0,0,0,2,0,1,0,0,0,0,0,0
7,5,0,0,12,3.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,1,0,9,2.641604168,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,9,2.947702779,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12,2,0,2,18,3.572431251,0,0,0,0,3,2,1,0,0,0,0,0,0
4,0,0,0,4,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.235926351,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,1,17,3.292770194,0,0,0,0,3,0,0,0,0,0,0,0,0
11,0,0,0,13,2.661226256,0,0,0,0,3,0,0,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
4,5,0,0,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,1.657742727,0,0,0,0,1,0,0,0,0,0,0,0,0
15,5,0,0,25,4.02346519,0,0,0,0,4,2,0,0,0,0,0,0,0
7,0,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
18,3,0,0,28,3.950212065,0,0,0,0,5,3,0,2,0,0,0,0,0
8,0,0,0,8,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,1,14,3.235926351,0,0,0,0,3,0,0,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,1,7,2.807354922,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,0,0,18,3.155221529,0,0,0,0,4,1,0,0,0,0,0,0,0
6,2,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,1,6,2.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.419381946,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.419381946,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,1,13,3.238901257,0,0,0,0,2,0,1,0,0,0,0,0,0
20,5,0,2,27,4.060262039,0,0,0,0,1,2,2,0,1,0,0,0,0
5,1,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,0,1,22,3.572623664,0,0,0,0,1,2,0,0,0,0,0,0,0
19,1,0,1,22,3.845350937,0,0,0,0,1,2,1,0,0,0,0,0,0
17,4,0,2,29,3.909368064,0,0,0,0,5,4,1,2,0,0,0,0,0
10,0,0,0,11,3.095795255,0,0,0,0,1,1,0,0,0,0,0,0,0
16,4,0,2,27,3.689891669,0,0,0,0,5,3,1,0,0,0,0,0,0
8,0,0,1,8,2.5,0,0,0,0,1,0,1,0,0,0,0,0,0
1,8,0,0,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
8,1,0,1,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,1.459147917,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,2.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,0,0,22,3.663532755,0,0,0,0,4,2,0,1,1,0,0,0,0
